               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,             0.13662,             0.02998,                   0,             0.37616,             0.21584,             0.18701,            0.060841,             0.12728,            0.033984,                   0,            0.008746,            0.008746,            0.008746
                  40,             0.13749,            0.028643,                   0,             0.38625,             0.20712,             0.17889,            0.054871,             0.12802,            0.032684,                   0,            0.008713,            0.008713,            0.008713
                  41,             0.13539,            0.029646,                   0,             0.40259,             0.21109,             0.18964,            0.063211,             0.12752,             0.03424,                   0,             0.00868,             0.00868,             0.00868
                  42,              0.1363,            0.029932,                   0,             0.36384,             0.22131,             0.18327,            0.057588,             0.12795,            0.031957,                   0,            0.008647,            0.008647,            0.008647
                  43,              0.1365,            0.029893,                   0,              0.3647,             0.21315,             0.18282,            0.058354,             0.12771,            0.033491,                   0,            0.008614,            0.008614,            0.008614
                  44,             0.13636,            0.029297,                   0,             0.38573,             0.22615,             0.19644,            0.063241,             0.12721,            0.032667,                   0,            0.008581,            0.008581,            0.008581
                  45,             0.13579,            0.030622,                   0,             0.39391,             0.21727,              0.1906,            0.062878,             0.12755,            0.033083,                   0,            0.008548,            0.008548,            0.008548
                  46,             0.13642,            0.029059,                   0,             0.37726,             0.22988,             0.19659,            0.064077,             0.12685,            0.033137,                   0,            0.008515,            0.008515,            0.008515
                  47,             0.13431,            0.031265,                   0,             0.40238,             0.23043,             0.20924,            0.069404,             0.12655,            0.032583,                   0,            0.008482,            0.008482,            0.008482
                  48,             0.13429,            0.029987,                   0,             0.41525,             0.22441,             0.19801,            0.060749,             0.12648,            0.033992,                   0,            0.008449,            0.008449,            0.008449
                  49,             0.13588,            0.030499,                   0,              0.4191,             0.22169,             0.20353,            0.063794,             0.12655,            0.034417,                   0,            0.008416,            0.008416,            0.008416
                  50,             0.13666,            0.028681,                   0,             0.39564,             0.21823,              0.1949,            0.063692,             0.12716,             0.03291,                   0,            0.008383,            0.008383,            0.008383
                  51,             0.13574,            0.029951,                   0,             0.39498,             0.24169,             0.21735,            0.073422,             0.12632,            0.032442,                   0,             0.00835,             0.00835,             0.00835
                  52,             0.13517,            0.030605,                   0,             0.40768,              0.2405,             0.21743,            0.070675,             0.12564,            0.034513,                   0,            0.008317,            0.008317,            0.008317
                  53,             0.13476,             0.03062,                   0,              0.3973,             0.24677,             0.22672,            0.077391,             0.12594,            0.032831,                   0,            0.008284,            0.008284,            0.008284
                  54,             0.13512,              0.0293,                   0,             0.36091,              0.2298,             0.18881,            0.050311,             0.12802,            0.031353,                   0,            0.008251,            0.008251,            0.008251
                  55,             0.13511,            0.030289,                   0,             0.41351,             0.23797,             0.21292,            0.069525,             0.12613,            0.032711,                   0,            0.008218,            0.008218,            0.008218
                  56,             0.13543,            0.030215,                   0,             0.41625,             0.24074,              0.2204,            0.071713,             0.12521,            0.034255,                   0,            0.008185,            0.008185,            0.008185
                  57,             0.13499,            0.030981,                   0,             0.44372,             0.23329,             0.21868,            0.073527,             0.12554,            0.033616,                   0,            0.008152,            0.008152,            0.008152
                  58,             0.13638,            0.029578,                   0,             0.42899,              0.2505,             0.22971,            0.078016,             0.12513,            0.033618,                   0,            0.008119,            0.008119,            0.008119
                  59,             0.13504,            0.031153,                   0,             0.42746,             0.24423,              0.2284,            0.075819,             0.12492,            0.033861,                   0,            0.008086,            0.008086,            0.008086
                  60,             0.13331,            0.031483,                   0,             0.40842,             0.23868,             0.21329,            0.069562,             0.12646,            0.031974,                   0,            0.008053,            0.008053,            0.008053
                  61,             0.13434,             0.03026,                   0,             0.44877,             0.24328,             0.23263,            0.080893,             0.12525,            0.033069,                   0,             0.00802,             0.00802,             0.00802
                  62,             0.13379,            0.029905,                   0,             0.44856,             0.24401,             0.22821,            0.072543,             0.12491,            0.033618,                   0,            0.007987,            0.007987,            0.007987
                  63,             0.13514,            0.030841,                   0,             0.41846,             0.26128,             0.23646,            0.078931,             0.12428,            0.033696,                   0,            0.007954,            0.007954,            0.007954
                  64,             0.13441,            0.028547,                   0,             0.41002,             0.25264,             0.22597,            0.073638,             0.12482,            0.032611,                   0,            0.007921,            0.007921,            0.007921
                  65,             0.13468,            0.030832,                   0,             0.43001,              0.2505,             0.23203,            0.076567,             0.12472,            0.032965,                   0,            0.007888,            0.007888,            0.007888
                  66,             0.13595,            0.029345,                   0,             0.44421,             0.24932,             0.23792,            0.078354,             0.12384,            0.033846,                   0,            0.007855,            0.007855,            0.007855
                  67,             0.13535,            0.030109,                   0,              0.4512,             0.25565,             0.24545,            0.081343,             0.12371,            0.033065,                   0,            0.007822,            0.007822,            0.007822
                  68,             0.13429,            0.030293,                   0,             0.40425,             0.25042,             0.22009,            0.070303,             0.12475,            0.033749,                   0,            0.007789,            0.007789,            0.007789
                  69,             0.13341,            0.032199,                   0,             0.45417,             0.25224,             0.24219,            0.079411,             0.12361,            0.034125,                   0,            0.007756,            0.007756,            0.007756
                  70,             0.13385,            0.030445,                   0,             0.43057,             0.25835,             0.23628,            0.076783,             0.12427,            0.032589,                   0,            0.007723,            0.007723,            0.007723
                  71,              0.1331,             0.03076,                   0,             0.46694,             0.25335,             0.24608,            0.083934,             0.12431,            0.032689,                   0,             0.00769,             0.00769,             0.00769
                  72,             0.13434,            0.030021,                   0,             0.43671,             0.25652,             0.23563,            0.074513,             0.12378,            0.034165,                   0,            0.007657,            0.007657,            0.007657
                  73,             0.13372,            0.030814,                   0,             0.46534,             0.26247,             0.25349,            0.083975,              0.1232,            0.033615,                   0,            0.007624,            0.007624,            0.007624
                  74,             0.13345,             0.03012,                   0,             0.43141,              0.2562,             0.23727,             0.07598,             0.12445,            0.033117,                   0,            0.007591,            0.007591,            0.007591
                  75,             0.13325,            0.030587,                   0,             0.44106,             0.26406,             0.24225,            0.075642,              0.1245,            0.032602,                   0,            0.007558,            0.007558,            0.007558
                  76,             0.13306,            0.030879,                   0,             0.43247,             0.26342,             0.24409,            0.080162,             0.12402,            0.032413,                   0,            0.007525,            0.007525,            0.007525
