               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.042563,           0.0076423,                   0,             0.60129,             0.45125,             0.48767,             0.20853,            0.029467,            0.006041,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.042175,           0.0075013,                   0,              0.6108,             0.44966,             0.49524,             0.21999,            0.029085,           0.0060751,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.042273,            0.007515,                   0,             0.61405,             0.45326,             0.49652,             0.21469,            0.029348,            0.006042,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.041567,           0.0075102,                   0,             0.62088,             0.46013,             0.50387,             0.22073,            0.029079,           0.0060216,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.041394,           0.0073191,                   0,             0.62667,             0.45984,              0.5076,             0.22085,            0.029013,           0.0060152,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.041391,           0.0075792,                   0,             0.62765,             0.46426,             0.51128,             0.22185,            0.028858,           0.0059416,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.041099,           0.0074742,                   0,             0.62341,             0.46553,             0.50928,             0.22144,            0.028936,           0.0059454,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.042132,           0.0075223,                   0,             0.62242,             0.46339,             0.50622,             0.22099,            0.028888,           0.0059807,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.041005,           0.0075573,                   0,             0.62794,             0.46109,             0.51099,              0.2228,            0.028872,           0.0059488,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.041534,           0.0074378,                   0,              0.6331,             0.46599,             0.51789,             0.22658,            0.028851,           0.0059274,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.041576,           0.0074905,                   0,              0.6428,             0.46474,              0.5217,              0.2291,            0.028479,           0.0059158,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.041037,           0.0074649,                   0,              0.6409,             0.47053,             0.52422,             0.23095,            0.028279,           0.0058923,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.041994,           0.0076511,                   0,             0.63662,              0.4733,             0.52556,             0.23168,            0.028242,           0.0058788,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.041155,           0.0073226,                   0,              0.6346,             0.47632,             0.52597,             0.23068,            0.028387,           0.0058799,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.040492,           0.0072038,                   0,             0.63411,             0.47664,             0.52748,             0.23405,            0.028264,           0.0058696,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.040472,            0.007542,                   0,             0.63551,             0.47965,             0.52945,             0.23346,            0.028263,           0.0058603,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.041587,           0.0075623,                   0,             0.64204,              0.4783,             0.53154,             0.23515,            0.028259,           0.0058436,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.041221,           0.0074441,                   0,             0.64563,             0.48036,             0.53563,             0.23768,            0.028171,            0.005819,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.041541,           0.0072571,                   0,             0.64482,             0.48249,             0.53704,             0.23839,            0.028163,           0.0058026,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.040771,           0.0072454,                   0,             0.64406,             0.48261,             0.53852,             0.23942,            0.028114,           0.0057922,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.040843,           0.0072681,                   0,             0.64425,             0.48409,             0.54025,             0.24087,            0.028028,            0.005794,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.041361,           0.0074168,                   0,             0.64921,              0.4875,             0.54441,             0.24316,            0.027961,           0.0057752,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.040383,           0.0071934,                   0,             0.65257,             0.48782,             0.54663,             0.24498,             0.02789,           0.0057652,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.040385,           0.0071579,                   0,              0.6547,             0.49028,             0.54917,             0.24674,             0.02786,           0.0057485,                   0,             0.00802,             0.00802,             0.00802
